A,B,C,D,Ans1,Ans2,Ans3,Ans4,type_relation,type_relation_jones,semantic_distance_near_far,distractor_salience_high_low
flat,house,boy,girl,tree,roof,mouse,bird,dezelfde categorie,categorical,,low
garlands,balloons,boy,girl,tree,roof,mouse,bird,dezelfde categorie,categorical,,low
leg,paw,mouth,beak,nose,man,animal,chin,dezelfde categorie,categorical,,high
arms,legs,mouth,beak,nose,man,animal,chin,dezelfde categorie,categorical,near,high
tablet,laptop,whistling kettle,kettle,mug,refrigerator,freezer,saucer,dezelfde categorie,categorical,,low
cup,glass,whistling kettle,kettle,mug,refrigerator,freezer,saucer,dezelfde categorie,categorical,near,low
bar,board,hammer,screwdriver,screw,nail,wood,construction market,dezelfde categorie,categorical,,high
shoulder bag,backpack,hammer,screwdriver,screw,nail,wood,construction market,dezelfde categorie,categorical,,high
garlands,balloons,clock,alarm clock,wall,table,plant,vase,dezelfde categorie,categorical,,low
pencil,pen,clock,alarm clock,wall,table,plant,vase,dezelfde categorie,categorical,,low
cup,glass,stallion,mare,stable,bit,riding school,saddle,dezelfde categorie,categorical,far,low
dog,cat,stallion,mare,stable,bit,riding school,saddle,dezelfde categorie,categorical,near,low
table,chair,chain,ring,dress,bedroom,beautiful,gold,dezelfde categorie,categorical,near,low
shoe,clog,chain,ring,dress,bedroom,beautiful,gold,dezelfde categorie,categorical,far,low
two,five,yellow,red,canary,egg,empty,squint,dezelfde categorie,categorical,far,low
a,three,yellow,red,canary,egg,empty,squint,dezelfde categorie,categorical,far,low
a,three,two,four,nine,seven,three,eleven,dezelfde categorie,categorical,near,high
twenty,fifty,two,four,nine,seven,three,eleven,dezelfde categorie,categorical,near,high
step,bike,gnome,witch,carpenter,Miss,German,Chinese,dezelfde categorie,categorical,far,low
cat,tiger,gnome,witch,carpenter,Miss,German,Chinese,dezelfde categorie,categorical,near,low
car,bike,baker,butcher,duration,pen,cabinet,salt,dezelfde categorie,categorical,,low
fireman,police officer,baker,butcher,duration,pen,cabinet,salt,dezelfde categorie,categorical,near,low
knife,fork,glue,adhesive tape,wall,scissors,paint,spoon,dezelfde categorie,categorical,,low
bar,board,glue,adhesive tape,wall,scissors,paint,spoon,dezelfde categorie,categorical,,low
cola,sinas,apple,banana,cauliflower,potato,water,pizza,dezelfde categorie,categorical,near,low
ranja,apple juice,apple,banana,cauliflower,potato,water,pizza,dezelfde categorie,categorical,near,low
comic book,reading book,clothesline,drying rack,peg,washcloth,washing machine,detergent,dezelfde categorie,categorical,far,low
step,bike,clothesline,drying rack,peg,washcloth,washing machine,detergent,dezelfde categorie,categorical,,low
dehydrated,moisture,only,company,party,duo,caterpillar,sad,gebrek aan,causal?,far,high
almost,time,only,company,party,duo,caterpillar,sad,gebrek aan,causal?,near,high
unemployed,work,only,company,party,duo,caterpillar,sad,gebrek aan,causal?,far,high
almost,time,orphan,parents,girl,boy,substantial,Annie,gebrek aan,causal?,,high
arm,money,orphan,parents,girl,boy,substantial,Annie,gebrek aan,causal?,far,high
drought,water,orphan,parents,girl,boy,substantial,Annie,gebrek aan,causal?,far,high
tired,sleep,hunger,food,arm,mouth,sick,rest,gebrek aan,causal?,near,low
blind,view,hunger,food,arm,mouth,sick,rest,gebrek aan,causal?,,low
hunger,food,thirsty,drink,sleep,banana,food,sore throat,gebrek aan,causal?,near,low
tired,sleep,thirsty,drink,sleep,banana,food,sore throat,gebrek aan,causal?,near,low
power outage,electricity,bored,nice things,happy,exciting,rain,fun,gebrek aan,causal?,,
aging,youth,bored,nice things,happy,exciting,rain,fun,gebrek aan,causal?,,
arm,money,desert,rain,oasis,sand,warm,Africa,gebrek aan,causal?,far,high
power outage,electricity,desert,rain,oasis,sand,warm,Africa,gebrek aan,causal?,,high
dark,light,stuffy,air,candy,doctor,lungs,trachea,gebrek aan,causal?,near,high
nude,clothes,stuffy,air,candy,doctor,lungs,trachea,gebrek aan,causal?,far,high
nude,clothes,bald,hair,brush,head,ears,man,gebrek aan,causal?,near,low
hunger,food,bald,hair,brush,head,ears,man,gebrek aan,causal?,,low
blind,view,deaf,hearing,wheelchair,sad,stick,dog,gebrek aan,causal?,near,high
hunger,food,deaf,hearing,wheelchair,sad,stick,dog,gebrek aan,causal?,,high
hairdresser,hairdresser,master,Miss,teacher,teacher,director,educator,grammatica,0,far,high
agent,agent,master,Miss,teacher,teacher,director,educator,grammatica,0,near,high
pepper,salt,coffee,cookie,chocolate,stir,break,cola,hoort bij elkaar,categorical?,near,high
fries,mayonnaise,coffee,cookie,chocolate,stir,break,cola,hoort bij elkaar,categorical?,near,high
arm,hand,leg,foot,cup,run,arm,plaster,hoort bij elkaar,categorical?,near,high
hand,finger,leg,foot,cup,run,arm,plaster,hoort bij elkaar,categorical?,near,high
dishwashing brush,detergent,shoe,laces,dirty,boot,slipper,outside,hoort bij elkaar,categorical?,far,low
pool,slide,shoe,laces,dirty,boot,slipper,outside,hoort bij elkaar,categorical?,far,low
foot,shoe,hand,glove,hat,pants,jacket,sweater,hoort bij elkaar,categorical?,near,low
head,hat,hand,glove,hat,pants,jacket,sweater,hoort bij elkaar,categorical?,near,low
hand,finger,foot,toe,bracelet,body,arm,leg,hoort bij elkaar,categorical?,near,high
arm,elbow,foot,toe,bracelet,body,arm,leg,hoort bij elkaar,categorical?,near,high
printer,ink,fountain pen,filling,plug,supermarket,letters,pen grip,item - eigenschap,compositional,far,high
washing machine,detergent,fountain pen,filling,plug,supermarket,letters,pen grip,item - eigenschap,compositional,,high
printer,paper,mailbox,post,lost,internet,alarm clock,alarm,item - eigenschap,compositional,,low
patch,wound,head,hat,buy,tea,summer,again,hoort bij elkaar,categorical?,far,low
foot,shoe,head,hat,buy,tea,summer,again,hoort bij elkaar,categorical?,near,low
fish,aquarium,earth,universe,water,star,dog,mirror,hoort bij elkaar,categorical?,far,low
astronaut,rocket,earth,universe,water,star,dog,mirror,hoort bij elkaar,categorical?,near,low
bull,cow,rooster,chicken,pig,house,school,rifle,hoort bij elkaar,categorical?,near,low
ram,ewe,rooster,chicken,pig,house,school,rifle,hoort bij elkaar,categorical?,far,low
astronaut,rocket,driver,race car,illustrations,magazine,store,emotions,hoort bij elkaar,categorical?,,low
driver,cab,driver,race car,illustrations,magazine,store,emotions,hoort bij elkaar,categorical?,,low
evening,dinner,afternoon,lunch,morning,soup,computer,calendar,hoort bij elkaar,categorical?,near,high
morning,breakfast,afternoon,lunch,morning,soup,computer,calendar,hoort bij elkaar,categorical?,near,high
weekend,free,morning,get up,afternoon,sun,time,hello,hoort bij elkaar,categorical?,far,high
customers,store,guests,hotel,hospital,police station,prison,soaps,hoort bij elkaar,categorical?,near,low
visitors,museum,guests,hotel,hospital,police station,prison,soaps,hoort bij elkaar,categorical?,,low
freeze,cold,sun,heat,planet,clouds,again,cold,hoort bij elkaar,categorical?,near,high
parasol,shadow,sun,heat,planet,clouds,again,cold,actie-resultaat,causal,,high
arm,elbow,leg,only,foot,shone,toes,hand,hoort bij elkaar,categorical?,,high
arm,wrist,leg,only,foot,shone,toes,hand,hoort bij elkaar,categorical?,,high
Bassie,Adriaan,Bert,Ernie,Elmo,Dora,Red Riding Hood,Pino,hoort bij elkaar,categorical?,near,low
Jip,Janneke,Bert,Ernie,Elmo,Dora,Red Riding Hood,Pino,hoort bij elkaar,categorical?,near,low
pool,slide,petting zoo,animals,swing,city,play,bamboo,hoort bij elkaar,categorical?,,high
garden,gardener,petting zoo,animals,swing,city,play,bamboo,hoort bij elkaar,categorical?,,high
pool,lifeguard,petting zoo,animals,swing,city,play,bamboo,hoort bij elkaar,categorical?,,high
hamster,cage,hose,terrarium,reptile,veterinarian,book,mouse,hoort bij elkaar,categorical?,near,high
bird,cage,hose,terrarium,reptile,veterinarian,book,mouse,hoort bij elkaar,categorical?,near,high
guitar,strings,pants,belt,bike,broom,vase,boy,hoort bij elkaar,categorical?,far,low
paint,brush,pants,belt,bike,broom,vase,boy,hoort bij elkaar,categorical?,near,low
hat,scarf,pants,belt,bike,broom,vase,boy,hoort bij elkaar,categorical?,near,low
snot,handkerchief,key,lock,forest path,open,close,latch,hoort bij elkaar,categorical?,far,low
safe,lock,phone,password,computer,key,castle,read,hoort bij elkaar,categorical?,,high
port,latch,phone,password,computer,key,castle,read,hoort bij elkaar,categorical?,far,high
button,buttonhole,garden,house,park,tuna,vegetable garden,rubble,hoort bij elkaar,categorical?,,high
ice,snow,garden,house,park,tuna,vegetable garden,rubble,hoort bij elkaar,categorical?,,high
moat,castle,garden,house,park,tuna,vegetable garden,rubble,hoort bij elkaar,categorical?,near,high
hammer,nail,screwdriver,screw,suitcase,carpenter,board,hammer,hoort bij elkaar,,,
wrench,bolt,screwdriver,screw,suitcase,carpenter,board,hammer,hoort bij elkaar,,,
dishes,dishwashing brush,teeth,toothbrush,toothpaste,candy,bracket,dentist,hoort bij elkaar,categorical?,near,high
length,meter,time,minute,long,night,weight,slow,hoort bij elkaar,categorical?,,high
fish,aquarium,time,minute,long,night,weight,slow,hoort bij elkaar,categorical?,far,high
content,liters,time,minute,long,night,weight,slow,hoort bij elkaar,categorical?,far,high
paint,brush,mother,baby,stroller,sling,crib,bottle,hoort bij elkaar,categorical?,,low
customer,store,mother,baby,stroller,sling,crib,bottle,hoort bij elkaar,categorical?,,low
cow,calf,mother,baby,stroller,sling,crib,bottle,hoort bij elkaar,categorical?,near,low
mother,daughter,father,son,grandpa,grandma,brother,sister,hoort bij elkaar,categorical?,near,high
uncle,aunt,father,son,grandpa,grandma,brother,sister,hoort bij elkaar,categorical?,near,high
Red Riding Hood,wolf,Snow White,stepmother,three piglets,Rapunzel,Gretel,giant,hoort bij elkaar,categorical?,near,high
bomb,explode,bicycle tire,hits,sanding,fly,brakes,car tire,item - eigenschap,compositional,near,high
stone,sink,bicycle tire,hits,sanding,fly,brakes,car tire,item - eigenschap,compositional,far,high
strawberry,red,knife,sharp,cut,sweet,light,spoon,item - eigenschap,compositional,,high
cactus,prickly,knife,sharp,cut,sweet,light,spoon,item - eigenschap,compositional,,high
banana,yellow,knife,sharp,cut,sweet,light,spoon,item - eigenschap,compositional,far,high
water,wet,red cabbage,red,fruit,forest,felling,sing,item - eigenschap,compositional,far,high
frog,green,red cabbage,red,fruit,forest,felling,sing,item - eigenschap,compositional,,high
tomato,red,water,liquid,ice,pool,waterfall,golf,item - eigenschap,compositional,,high
wifi,wireless,water,liquid,ice,pool,waterfall,golf,item - eigenschap,compositional,far,high
car,send,tent,sticks,France,vacation,highway,tollgate,item - eigenschap,compositional,near,low
house,roof,tent,sticks,France,vacation,highway,tollgate,item - eigenschap,compositional,,low
wifi,wireless,hatchet,sharp,sword,pocket,screwdriver,grinding,item - eigenschap,compositional,far,high
stone,hard,hatchet,sharp,sword,pocket,screwdriver,grinding,item - eigenschap,compositional,near,high
crane,water,car,wheels,moped,cars,garage,convertible,item - eigenschap,compositional,,high
house,doors,car,wheels,moped,cars,garage,convertible,item - eigenschap,compositional,,high
chicken,seeds,rabbit,roots,cookies,wings,rooster,ears,item - eigenschap,compositional,near,high
cat,chunks,rabbit,roots,cookies,wings,rooster,ears,item - eigenschap,compositional,,high
candy,unhealthy,sports,healthy,stadium,running shoes,sweating,run,item - eigenschap,compositional,,high
pea,around,sports,healthy,stadium,running shoes,sweating,run,item - eigenschap,compositional,far,high
sugar,sweet,sports,healthy,stadium,running shoes,sweating,run,item - eigenschap,compositional,,high
ball,around,die,square,ball,around,win,game,item - eigenschap,compositional,,high
spring,light,die,square,ball,around,win,game,item - eigenschap,compositional,,high
at,honey,cow,milk,wool,cotton,coffee,bull,item - eigenschap,compositional,far,high
ice rink,smooth,cow,milk,wool,cotton,coffee,bull,item - eigenschap,compositional,far,high
chicken,egg,cow,milk,wool,cotton,coffee,bull,item - eigenschap,compositional,near,high
pea,around,milk,white,glass,grass,breakfast,buy,item - eigenschap,compositional,far,high
strawberry,red,milk,white,glass,grass,breakfast,buy,item - eigenschap,compositional,near,high
pen,ink,book,pages,illustrator,comic,magazine,thrift store,item - eigenschap,compositional,far,high
comic book,pictures,book,pages,illustrator,comic,magazine,thrift store,item - eigenschap,compositional,,high
lead,heavy,spring,light,goose,pen,springs,fly,item - eigenschap,compositional,,high
rock,hard,spring,light,goose,pen,springs,fly,item - eigenschap,compositional,far,high
road bike,light,coasters,creative,paint,mustache,French,painting,item - eigenschap,compositional,far,low
athletes,fast,coasters,creative,paint,mustache,French,painting,item - eigenschap,compositional,far,low
spring,light,lead,heavy,iron,great,bread,aluminum,item - eigenschap,compositional,,high
skyscraper,high,lead,heavy,iron,great,bread,aluminum,item - eigenschap,compositional,far,high
lamp,light,fire,heat,campfire,matches,marshmallows,oil,item - eigenschap,compositional,near,high
crane,water,fire,heat,campfire,matches,marshmallows,oil,item - eigenschap,compositional,near,high
stone,hard,bear,strong,berin,salmon,Canada,Winnie,item - eigenschap,compositional,,high
water,wet,bear,strong,berin,salmon,Canada,Winnie,item - eigenschap,compositional,,high
cushion,soft,bear,strong,berin,salmon,Canada,Winnie,item - eigenschap,compositional,far,high
whisper,soft,shout,hard,hoarse,sore throat,concert,daredevil,item - eigenschap,compositional,near,low
lead,heavy,shout,hard,hoarse,sore throat,concert,daredevil,item - eigenschap,compositional,,low
skyscraper,high,musicians,musical,nuts,orchestra,genius,violin,item - eigenschap,compositional,far,low
sculptors,creative,musicians,musical,nuts,orchestra,genius,violin,item - eigenschap,compositional,near,low
ice rink,smooth,mountain,high,small,landscape,vacation,hiking,item - eigenschap,compositional,far,high
tomato,red,mountain,high,small,landscape,vacation,hiking,item - eigenschap,compositional,far,high
ravine,deep,mountain,high,small,landscape,vacation,hiking,item - eigenschap,compositional,near,high
stone,sink,ice,float,white,sweet,water,turn,item - eigenschap,compositional,near,high
butter,melt,ice,float,white,sweet,water,turn,item - eigenschap,compositional,near,high
paper,fold,ice,melt,warm,free,cold,winter,item - eigenschap,compositional,near,low
candle,melt,ice,melt,warm,free,cold,winter,item - eigenschap,compositional,near,low
frog,green,gnome,small,broom,forest,giant,biology,item - eigenschap,compositional,,high
ball,around,gnome,small,broom,forest,giant,biology,item - eigenschap,compositional,far,high
wound,bleeding,sticker,paste,book,collection,exchange,supermarket,item - eigenschap,compositional,,low
scissors,cut,sticker,paste,book,collection,exchange,supermarket,item - eigenschap,compositional,near,low
villa,duration,thrift store,used,bike,open,LPs,checkout,item - eigenschap,compositional,far,low
people,lungs,fish,gills,fins,swimming,tail,eyes,item - eigenschap,compositional,,high
lizards,lungs,fish,gills,fins,swimming,tail,eyes,item - eigenschap,compositional,near,high
cactus,spines,elephant,trunk,blue,run,canary,savannah,item - eigenschap,compositional,,low
whale,blowhole,elephant,trunk,blue,run,canary,savannah,item - eigenschap,compositional,near,low
pepper,spicy,sugar,sweet,diver,milk,treat,acid,item - eigenschap,compositional,near,high
pickle,acid,sugar,sweet,diver,milk,treat,acid,item - eigenschap,compositional,near,high
sometimes,often,someone,many,friends,never,nobody,some,mate/sterkte,0,near,high
new,brand new,someone,many,friends,never,nobody,some,mate/sterkte,0,,high
sometimes,often,someone,everyone,nobody,never,friends,often,mate/sterkte,0,near,low
funny,hilarious,someone,everyone,nobody,never,friends,often,mate/sterkte,0,near,low
funny,hilarious,good,perfect,bad,moderate,laugh,past,mate/sterkte,0,near,high
tired,exhausted,good,perfect,bad,moderate,laugh,past,mate/sterkte,0,near,high
neat,chic,good,perfect,bad,moderate,laugh,past,mate/sterkte,0,near,high
good,outstanding,moderate,bad,reasonable,neat,quite,warm,mate/sterkte,0,near,low
nice,great,moderate,bad,reasonable,neat,quite,warm,mate/sterkte,0,near,low
nice,great,lust,love,ice,charges,tasty,foul,mate/sterkte,0,,
great,huge,lust,love,ice,charges,tasty,foul,mate/sterkte,0,,
wind,storm,wet,soaked,lemonade,outside,clouds,dry,mate/sterkte,0,,high
sharp,razor sharp,wet,soaked,lemonade,outside,clouds,dry,mate/sterkte,0,near,high
quarrel,war,old,prehistoric,grandma,rickety,broken,young,mate/sterkte,0,far,high
smart,gifted,old,prehistoric,grandma,rickety,broken,young,mate/sterkte,0,far,high
warm,hot,damp,wet,dry,jungle,dishcloth,apple,mate/sterkte,0,near,high
flat,skyscraper,damp,wet,dry,jungle,dishcloth,apple,mate/sterkte,0,far,high
white,muscle white,damp,wet,dry,jungle,dishcloth,apple,mate/sterkte,0,,high
storm,hurricane,quarrel,fight,angry,debt,sweet,talk,mate/sterkte,0,,high
sob,cry,quarrel,fight,angry,debt,sweet,talk,mate/sterkte,0,,high
angry,furious,rain,downpour,drizzle,wind,umbrella,autumn,mate/sterkte,0,,high
wind,storm,rain,downpour,drizzle,wind,umbrella,autumn,mate/sterkte,0,near,high
whisper,talk,tease,bullying,hair pulling,funny,angry,run away,mate/sterkte,0,near,
hard,deafening,soft,silent,cushion,sound,whisper,angry,mate/sterkte,0,near,high
visually impaired,blind,soft,silent,cushion,sound,whisper,angry,mate/sterkte,0,far,high
nice,Dearest,soft,silent,cushion,sound,whisper,angry,mate/sterkte,0,,high
increase,fever,sore throat,laryngitis,earache,thermometer,candy,sleep,mate/sterkte,0,near,high
warm,hot,sore throat,laryngitis,earache,thermometer,candy,sleep,mate/sterkte,0,far,high
please,preferably,neat,chic,makeup,clothing,friendly,listen,mate/sterkte,0,,high
good,outstanding,neat,chic,makeup,clothing,friendly,listen,mate/sterkte,0,,high
happy,delighted,city,metropolis,village,church,castle,hamlet,mate/sterkte,0,,low
great,gigantic,city,metropolis,village,church,castle,hamlet,mate/sterkte,0,,low
house,villa,city,metropolis,village,church,castle,hamlet,mate/sterkte,0,,low
flat,skyscraper,tablet,laptop,cord,building,electronics,refrigerator,mate/sterkte,0,far,low
storm,hurricane,tablet,laptop,cord,building,electronics,refrigerator,mate/sterkte,0,,low
new,brand new,break,shatter,fall,adhesives,arm,cry,mate/sterkte,0,far,low
jumping,bounce,break,shatter,fall,adhesives,arm,cry,mate/sterkte,0,near,low
tired,exhausted,injured,seriously injured,ambulance,siren,hospital,traffic,mate/sterkte,0,near,low
talk,shout,injured,seriously injured,ambulance,siren,hospital,traffic,mate/sterkte,0,,low
proud,Proudly,injured,seriously injured,ambulance,siren,hospital,traffic,mate/sterkte,0,,low
great,huge,cold,icy,warm,hot,small,new,mate/sterkte,0,,high
blonde,high blonde,cold,icy,warm,hot,small,new,mate/sterkte,0,near,high
great,gigantic,small,tiny,dwarf,good,perfect,microscope,mate/sterkte,0,near,low
slim,lean,small,tiny,dwarf,good,perfect,microscope,mate/sterkte,0,near,low
jumping,bounce,few,least,several,some,everywhere,nothing,mate/sterkte,0,,high
sometimes,often,few,least,several,some,everywhere,nothing,mate/sterkte,0,near,high
sob,cry,laugh,hoot,cry,joy,comfort,merry,mate/sterkte,0,near,high
angry,furious,laugh,hoot,cry,joy,comfort,merry,mate/sterkte,0,near,high
scared,panic,laugh,hoot,cry,joy,comfort,merry,mate/sterkte,0,near,high
visually impaired,blind,hard of hearing,deaf,angry,noise,glasses,hearing aid,mate/sterkte,0,near,low
blonde,high blonde,enthusiastic,ecstatic,happy,angry,sad,serious,mate/sterkte,0,,high
sometimes,often,enthusiastic,ecstatic,happy,angry,sad,serious,mate/sterkte,0,,high
passive,apathetic,enthusiastic,ecstatic,happy,angry,sad,serious,mate/sterkte,0,,high
whisper,talk,sneak,run,dwell,bend,hide,bikes,mate/sterkte,0,near,high
food,eat,sneak,run,dwell,bend,hide,bikes,mate/sterkte,0,near,high
talk,shout,run,run,crawl,hopscotch,jumping,fall,mate/sterkte,0,near,low
happy,delighted,run,run,crawl,hopscotch,jumping,fall,mate/sterkte,0,,low
slim,lean,solid,thick,thin,light,fragile,loose,mate/sterkte,0,near,low
please,preferably,solid,thick,thin,light,fragile,loose,mate/sterkte,0,,low
smart,gifted,musical,virtuoso,violin,sing,handsome,nuts,mate/sterkte,0,near,low
hard,deafening,musical,virtuoso,violin,sing,handsome,nuts,mate/sterkte,0,far,low
shoes,run,calculator,calculate,wear,cup,book,add,object - functie,compositional?,far,low
dryer,dry,calculator,calculate,wear,cup,book,add,object - functie,compositional?,far,low
phone,call,pan,cooking,fire,stove,frying pan,washing up,object - functie,compositional?,,high
pan,cooking,car,drive,print,warm up,car door,file,object - functie,compositional?,,low
knife,cut,car,drive,print,warm up,car door,file,object - functie,compositional?,,low
key,open,boat,sailing,read,drink,swimming,hazard,object - functie,compositional?,far,low
microphone,sing,boat,sailing,read,drink,swimming,hazard,object - functie,compositional?,far,low
spoon,stir,pen,write,pencil,marker,cap,forgotten,object - functie,compositional?,far,high
pan,cooking,pen,write,pencil,marker,cap,forgotten,object - functie,compositional?,far,high
bread,food,water,drink,cold,apple juice,waterfall,vaporize,object - functie,compositional?,near,high
soap,wash,spoon,food,computer,lemonade,hammer,chewing,object - functie,compositional?,near,high
paper,write,chair,sit,table,pen,school,calculate,object - functie,compositional?,,high
scissors,cut,chair,sit,table,pen,school,calculate,object - functie,compositional?,,high
saw,saw,iron,ironing,iron,board,violin,wash,object - functie,compositional?,far,low
phone,call,iron,ironing,iron,board,violin,wash,object - functie,compositional?,,low
bread,food,saw,saw,board,adhesives,barn,wood,object - functie,compositional?,far,high
pen,write,saw,saw,board,adhesives,barn,wood,object - functie,compositional?,far,high
pen,write,cup,drink,cups,water,washing up,stove,object - functie,compositional?,far,high
spoon,stir,cup,drink,cups,water,washing up,stove,object - functie,compositional?,,high
knife,cut,refrigerator,cooling,heating,street,icy,room,object - functie,compositional?,near,high
oven,bins,refrigerator,cooling,heating,street,icy,room,object - functie,compositional?,near,high
lock,close,stove,give heat,house,wood,logging,work,object - functie,compositional?,,
lock,close,laces,attach,sandals,shoemaker,bow diploma,aglet,object - functie,compositional?,far,high
scissors,cut,laces,attach,sandals,shoemaker,bow diploma,aglet,object - functie,compositional?,near,high
mouse,click,keyboard,types,letters,computer,screen,game,object - functie,compositional?,,high
camera,photography,keyboard,types,letters,computer,screen,game,object - functie,compositional?,far,high
slingshot,shooting,sewing machine,sewing,knitting,embroider,cut,clothes,object - functie,compositional?,far,low
saw,saw,sewing machine,sewing,knitting,embroider,cut,clothes,object - functie,compositional?,far,low
scissors,cut,jacket,keep warm,pencil case,discard,jacket pocket,hanging,object - functie,compositional?,,
pen,write,jacket,keep warm,pencil case,discard,jacket pocket,hanging,object - functie,compositional?,,
scissors,cut,pencil,draw,dye,wood,gray,grinding,object - functie,compositional?,,low
paper,write,pencil,draw,dye,wood,gray,grinding,object - functie,compositional?,near,low
oven,bins,scissors,cut,paper,knife,crafting,hinge,object - functie,compositional?,near,high
slingshot,shooting,scissors,cut,paper,knife,crafting,hinge,object - functie,compositional?,,high
camera,photography,printer,print,computer,paper,settings,plug,object - functie,compositional?,,high
radio,listen,printer,print,computer,paper,settings,plug,object - functie,compositional?,far,high
microwave,warm up,printer,print,computer,paper,settings,plug,object - functie,compositional?,,high
eyes,watch,nose,smell,snot,hide,indicate,stink,object - functie,compositional?,near,high
tongue,trials,nose,smell,snot,hide,indicate,stink,object - functie,compositional?,near,high
radio,listen,television,watch,talk,run,feel,trials,object - functie,compositional?,near,low
radio,listen,book,read,write,story,paper,ink,object - functie,compositional?,,high
music,listen,book,read,write,story,paper,ink,object - functie,compositional?,near,high
field,grain,cow,milk,make honey,grass eating,ruminate,moo,object - functie,compositional?,,
scoop,dig,cart,transport,wheels,hitch,car,license plate,object - functie,compositional?,far,high
key,open,cart,transport,wheels,hitch,car,license plate,object - functie,compositional?,far,high
eyes,watch,rod,fish,chair,river,sea,fins,object - functie,compositional?,far,high
boat,sailing,rod,fish,chair,river,sea,fins,object - functie,compositional?,near,high
microphone,sing,stage,performance,write,attention,beautiful,honor,object - functie,compositional?,near,low
radio,listen,stage,performance,write,attention,beautiful,honor,object - functie,compositional?,,low
soap,wash,ball,throw,goal,goal,tennis racket,jumping,object - functie,compositional?,,high
shoes,run,ball,throw,goal,goal,tennis racket,jumping,object - functie,compositional?,,high
dryer,dry,washing machine,wash,detergent,hanging,rotate,wet,object - functie,compositional?,near,high
