A,B,C,D,Ans1,Ans2,Ans3,Ans4,type_relation,type_relation_jones,semantic_distance_near_far,distractor_salience_high_low
stove,cooking,washing machine,wash,detergent,hanging,rotate,wet,object - functie,compositional?,near,high
tongue,trials,ears,hear,earplugs,eyes,earwax,earrings,object - functie,compositional?,,high
eyes,watch,ears,hear,earplugs,eyes,earwax,earrings,object - functie,compositional?,near,high
notebook,school,sweater,cabinet,pants,belt,sleeves,pant leg,object - locatie,0,far,high
pen,pencil case,sweater,cabinet,pants,belt,sleeves,pant leg,object - locatie,0,,high
calculate,school,soccer,grass,footballs,shoes,trainer,competition,object - locatie,0,far,high
camel,desert,soccer,grass,footballs,shoes,trainer,competition,object - locatie,0,far,high
cookies,drum,money,checkout,rich,kitchen,table,candy,object - locatie,0,far,high
plant,pot,money,checkout,rich,kitchen,table,candy,object - locatie,0,far,high
pan,kitchen,car,garage,drive,send,brake,gasoline,object - locatie,0,,high
plane,airport,car,garage,drive,send,brake,gasoline,object - locatie,0,,high
train,station,car,garage,drive,send,brake,gasoline,object - locatie,0,,high
crosswalk,street,cloud,air,rain,snow,white,dark,object - locatie,0,,low
water,sea,cloud,air,rain,snow,white,dark,object - locatie,0,near,low
cup,dish,pan,stove,cooking,cabinet,washing up,frying pan,object - locatie,0,far,high
crosswalk,street,pan,stove,cooking,cabinet,washing up,frying pan,object - locatie,0,,high
camel,desert,fish,sea,rod,fins,gills,bumps,object - locatie,0,near,high
monkey,jungle,fish,sea,rod,fins,gills,bumps,object - locatie,0,,high
monkey,jungle,shark,sea,teeth,dangerous,swimming,waves,object - locatie,0,,high
cow,whey,shark,sea,teeth,dangerous,swimming,waves,object - locatie,0,,high
book,library,water,glass,drink,wet,ice,blue,object - locatie,0,far,high
cookies,drum,water,glass,drink,wet,ice,blue,object - locatie,0,near,high
swing,playground,bike,street,call,station,send,brake,object - locatie,0,near,high
skates,ice rink,bike,street,call,station,send,brake,object - locatie,0,,high
slide,playground,checkout,store,attic,church,tennis court,kitchen,object - locatie,0,far,low
carousel,playground,checkout,store,attic,church,tennis court,kitchen,object - locatie,0,,low
pen,pencil case,book,cabinet,notebook,paper,read,buy,object - locatie,0,near,high
table,house,book,cabinet,notebook,paper,read,buy,object - locatie,0,near,high
pan,kitchen,toothbrush,bathroom,polishing,toothpaste,dentist,electric,object - locatie,0,near,high
bank,living room,toothbrush,bathroom,polishing,toothpaste,dentist,electric,object - locatie,0,,high
powdered sugar,pancake,toothpaste,toothbrush,rinse,electric,little holes,food,object - locatie,0,,low
cup,dish,toothpaste,toothbrush,rinse,electric,little holes,food,object - locatie,0,far,low
ink,pen,soup,pan,cooking,stove,kitchen,bins,object - locatie,0,,high
fish,aquarium,soup,pan,cooking,stove,kitchen,bins,object - locatie,0,,high
cake,baking tin,soup,pan,cooking,stove,kitchen,bins,object - locatie,0,near,high
carousel,playground,fish,sea,fins,play,gills,rain,object - locatie,0,,high
agent,police station,fish,sea,fins,play,gills,rain,object - locatie,0,far,high
wiper,car,pop,toy store,car,play,clothes,mom and dad,object - locatie,0,far,high
slide,playground,pop,toy store,car,play,clothes,mom and dad,object - locatie,0,,high
table,house,hunter,forest,rifle,shooting,dog,green,object - locatie,0,far,high
doctor,hospital,hunter,forest,rifle,shooting,dog,green,object - locatie,0,far,high
alarm clock,bedroom,flowers,vase,water,bloom,plants,oil,object - locatie,0,,high
lock,door,flowers,vase,water,bloom,plants,oil,object - locatie,0,,high
doctor,hospital,businesswoman,office,port,letters,cover,circus,object - locatie,0,,low
miller,mill,businesswoman,office,port,letters,cover,circus,object - locatie,0,far,low
lock,door,clown,circus,horses,play,run,fall,object - locatie,0,far,low
master,school,clown,circus,horses,play,run,fall,object - locatie,0,far,low
miller,mill,farmer,farm,cow,city,potatoes,grain,object - locatie,0,near,low
clown,circus,farmer,farm,cow,city,potatoes,grain,object - locatie,0,,low
plane,airport,chicken,farm,egg,rooster,farmer's wife,city,object - locatie,0,far,high
hamster,pet store,chicken,farm,egg,rooster,farmer's wife,city,object - locatie,0,,high
elephant,zoo,grass,garden,roof,cow,green,school,object - locatie,0,,high
pan,kitchen,grass,garden,roof,cow,green,school,object - locatie,0,near,high
bank,living room,Amsterdam,Netherlands,capital,canals,clogs,tulips,object - locatie,0,far,low
pan,kitchen,Amsterdam,Netherlands,capital,canals,clogs,tulips,object - locatie,0,far,low
agent,police station,mayor,city hall,boss,director,police,chain,object - locatie,0,,low
nurse,hospital,mayor,city hall,boss,director,police,chain,object - locatie,0,,low
plant,flowerpot,lemonade,glass,straw,drink,summer,warm,object - locatie,0,,high
ink,pen,lemonade,glass,straw,drink,summer,warm,object - locatie,0,,high
fish,fishbowl,cola,glass,nice,drink,straw,prick,object - locatie,0,far,high
egg,pan,cola,glass,nice,drink,straw,prick,object - locatie,0,far,high
skates,ice rink,tennis,tennis court,ball,save,sports,serve,object - locatie,0,near,low
book,library,tennis,tennis court,ball,save,sports,serve,object - locatie,0,far,low
boxer,boxing ring,tennis,tennis court,ball,save,sports,serve,object - locatie,0,far,low
ring,finger,chain,neck,bracelet,beautiful,gold,dog,object - locatie,0,near,high
bracelet,arm,chain,neck,bracelet,beautiful,gold,dog,object - locatie,0,near,high
heat,sweating,clouds,rain,air,sun,high,fly,oorzaak-gevolg,causal,near,high
explain,understand,pay attention,leather,school,explain,Miss,lessons,oorzaak-gevolg,causal,near,high
resign,unemployed,explain,understand,difficult,lessons,school,Miss,oorzaak-gevolg,causal,far,low
pay attention,leather,explain,understand,difficult,lessons,school,Miss,oorzaak-gevolg,causal,near,low
sick,vomit,wound,bleeding,patch,red,cleaning,fall,oorzaak-gevolg,causal,near,low
fall,pain,wound,bleeding,patch,red,cleaning,fall,oorzaak-gevolg,causal,near,low
awaken,awake,lock up,captured,prison,release,key,bars,oorzaak-gevolg,causal,far,high
resign,unemployed,lock up,captured,prison,release,key,bars,oorzaak-gevolg,causal,far,high
clean up,neat,purge,clean,dirty,water,room,disinfect,oorzaak-gevolg,causal,near,high
mess,dirty,purge,clean,dirty,water,room,disinfect,oorzaak-gevolg,causal,near,high
sick,vomit,hearing aid,hear better,deaf,blind,lenses,old,oorzaak-gevolg,causal,,
smooth,slip,hearing aid,hear better,deaf,blind,lenses,old,oorzaak-gevolg,causal,,
awaken,awake,throw,scoring,pinch,basketball player,sunshine,hit,oorzaak-gevolg,causal,,high
freeze,ice,throw,scoring,pinch,basketball player,sunshine,hit,oorzaak-gevolg,causal,,high
fall,broken,warm up,hot,oven,microwave,cold,oven gloves,oorzaak-gevolg,causal,,high
rain,wet,warm up,hot,oven,microwave,cold,oven gloves,oorzaak-gevolg,causal,near,high
heat,sweating,cold,shiver,eskimo,thirsty,bikes,winter,oorzaak-gevolg,causal,near,high
sun,burn,cold,shiver,eskimo,thirsty,bikes,winter,oorzaak-gevolg,causal,near,high
noise,earplugs,wet,dry,wash,pinch,bikes,chatting,probleem - oplossing,causal,far,low
thirsty,drink,bleeding,patch,wound,cut,water,feed,probleem - oplossing,causal,far,high
headache,painkiller,bleeding,patch,wound,cut,water,feed,probleem - oplossing,causal,near,high
tired,sleep,dirty,wash,shoes,pay,drink,clean,probleem - oplossing,causal,near,high
headache,painkiller,fracture,plaster,fire,calculate,separation,fall,probleem - oplossing,causal,far,high
hunger,food,fracture,plaster,fire,calculate,separation,fall,probleem - oplossing,causal,far,high
dark,lighting,almost,hurry up,angry,no time,tricky,mother,probleem - oplossing,causal,far,high
hunger,food,disease,drugs,better,fever,hug,earache,probleem - oplossing,causal,near,high
noise,earplugs,disease,drugs,better,fever,hug,earache,probleem - oplossing,causal,far,high
junk,clean up,overweight,lose weight,kilo,scale,doctor,thick,probleem - oplossing,causal,far,low
quarrel,talk it out,overweight,lose weight,kilo,scale,doctor,thick,probleem - oplossing,causal,far,low
nice,great,weird,crazy,normal,completed,other,thanks,mate/sterkte,0,near,low
warm,hot,weird,crazy,normal,completed,other,thanks,mate/sterkte,0,near,low
exercise,statement,moment,moment,patience,rest,past,way,synoniem,0,,low
morning,tomorrow,moment,moment,patience,rest,past,way,synoniem,0,,low
mother,mom,speak,talk,silence,silver,avoid,doubt,synoniem,0,,low
cry,whine,speak,talk,silence,silver,avoid,doubt,synoniem,0,near,low
rare,scarce,correct,good,error,ring,pen,false,synoniem,0,near,low
wrong,error,correct,good,error,ring,pen,false,synoniem,0,near,low
phone,call,death,die,awake,email,quiet,buried,synoniem,0,,low
cry,whine,send,send,remove,forgotten,call,yawn,synoniem,0,,low
deliver,bring,send,send,remove,forgotten,call,yawn,synoniem,0,near,low
rare,scarce,clearance,sale,quarrel,hospital,party,clarinet,synoniem,0,far,low
smart,intelligent,funny,witty,sad,clown,laugh,giant,synoniem,0,near,low
scared,anxious,funny,witty,sad,clown,laugh,giant,synoniem,0,near,low
broken,piece,about,past,too bad,under,oven,forgotten,synoniem,0,near,high
grandmother,grandma,about,past,too bad,under,oven,forgotten,synoniem,0,far,high
run,run,about,past,too bad,under,oven,forgotten,synoniem,0,,high
run,run,fall,stumble,continue,jumping,fly,diving,synoniem,0,near,high
stuttering,hack,fall,stumble,continue,jumping,fly,diving,synoniem,0,,high
scared,anxious,famous,well-known,brave,movie star,traffic circle,runner,synoniem,0,,low
perpetrator,guilty,famous,well-known,brave,movie star,traffic circle,runner,synoniem,0,,low
waiter,waiter,Miss,teacher,sister,director,letter carrier,shoplifter,synoniem,0,near,high
master,teacher,Miss,teacher,sister,director,letter carrier,shoplifter,synoniem,0,near,high
cat,cat,round,circle,witch,clock,water,film,synoniem,0,,low
perfect,ideal,round,circle,witch,clock,water,film,synoniem,0,far,low
reliable,honest,round,circle,witch,clock,water,film,synoniem,0,far,low
cat,cat,cell phone,phone,internet,text message,email,call,synoniem,0,,low
phone,call,cell phone,phone,internet,text message,email,call,synoniem,0,near,low
mother,mom,father,dad,grandpa,grandma,daughter,son,synoniem,0,near,high
grandpa,grandfather,father,dad,grandpa,grandma,daughter,son,synoniem,0,near,high
great,long,slim,thin,small,fat,beverage,short,synoniem,0,near,low
broken,piece,slim,thin,small,fat,beverage,short,synoniem,0,,low
deliver,bring,stroke,caress,brushing,pet,dog,hit,synoniem,0,,low
run,run,stroke,caress,brushing,pet,dog,hit,synoniem,0,near,low
perfect,ideal,older,elderly,wise,lack,sick,broken,synoniem,0,far,low
mother,mom,older,elderly,wise,lack,sick,broken,synoniem,0,,low
yawn,yawn,lose weight,diets,thin,clutter,sleepy,below,synoniem,0,,low
hairless,bald,lose weight,diets,thin,clutter,sleepy,below,synoniem,0,,low
morning,tomorrow,risk,hazard,percent,doubt,train,crossings,synoniem,0,far,low
noise,noise,risk,hazard,percent,doubt,train,crossings,synoniem,0,near,low
error,wrong,powerful,strong,blackbird,power,satisfied,often,synoniem,0,near,low
mother,mom,powerful,strong,blackbird,power,satisfied,often,synoniem,0,far,low
fine,good,powerful,strong,blackbird,power,satisfied,often,synoniem,0,near,low
idea,plan,package,pack,deliver,perform,letter carrier,bike,synoniem,0,,low
ship,boat,package,pack,deliver,perform,letter carrier,bike,synoniem,0,,low
poem,verse,job,karwei,book,handy,hammer,bread,synoniem,0,far,low
idea,plan,job,karwei,book,handy,hammer,bread,synoniem,0,near,low
stuttering,hack,bins,roast,miss,stitches,places,discard,synoniem,0,far,low
yawn,yawn,bins,roast,miss,stitches,places,discard,synoniem,0,near,low
hairless,bald,youthful,young,old,elderly,playful,cake,synoniem,0,near,low
modern,newfangled,youthful,young,old,elderly,playful,cake,synoniem,0,,low
grandmother,grandma,grandfather,grandpa,grandma,aunt,cousin,brother,synoniem,0,near,high
father,dad,grandfather,grandpa,grandma,aunt,cousin,brother,synoniem,0,near,high
ship,boat,beast,animal,swimming,party,chicken,plant,synoniem,0,far,low
cat,cat,beast,animal,swimming,party,chicken,plant,synoniem,0,near,low
noise,noise,easy,easy,complicated,school,smart,stupid,synoniem,0,,low
exercise,statement,easy,easy,complicated,school,smart,stupid,synoniem,0,far,low
modern,newfangled,old-fashioned,old,young,tired,vague,stripe,synoniem,0,,high
great,long,old-fashioned,old,young,tired,vague,stripe,synoniem,0,near,high
perpetrator,guilty,teacher,master,les,school,explain,director,synoniem,0,,high
waiter,waiter,teacher,master,les,school,explain,director,synoniem,0,,high
jumping,bend,buy,sell,want,suits,funds,pay,tegengestelden,0,,low
give,get,buy,sell,want,suits,funds,pay,tegengestelden,0,near,low
left,right,above,under,attic,at,behind,next to,tegengestelden,0,,high
high,low,above,under,attic,at,behind,next to,tegengestelden,0,,high
hammer,pliers,write,erasers,pen,ruler,paper,felt-tip pen,tegengestelden,0,far,high
save,lose,write,erasers,pen,ruler,paper,felt-tip pen,tegengestelden,0,,high
save,lose,get up,fall,awake,run,stairs,wallet,tegengestelden,0,,high
accelerate,slow down,get up,fall,awake,run,stairs,wallet,tegengestelden,0,near,high
clean,dirty,fake,truly,counterfeit,broken,banned,as if,tegengestelden,0,near,high
full,empty,fake,truly,counterfeit,broken,banned,as if,tegengestelden,0,near,high
raw,done,nice,dirty,pizza,ice cream,sprouts,warm,tegengestelden,0,near,low
duration,cheap,nice,dirty,pizza,ice cream,sprouts,warm,tegengestelden,0,near,low
clumsy,elegant,easy,difficult,simple,school,smart,easy,tegengestelden,0,near,high
slow,fast,easy,difficult,simple,school,smart,easy,tegengestelden,0,near,high
give,get,rise,fall,plane,warm,air,panting,tegengestelden,0,near,low
awake,sleep,rise,fall,plane,warm,air,panting,tegengestelden,0,,low
pinch,stroke,rise,fall,plane,warm,air,panting,tegengestelden,0,,low
following,previous,noise,silence,noise,scream,play,jobs,tegengestelden,0,far,high
wet,dry,noise,silence,noise,scream,play,jobs,tegengestelden,0,,high
everywhere,nowhere,always,never,now,soon,everyone,somewhere,tegengestelden,0,near,low
raw,done,always,never,now,soon,everyone,somewhere,tegengestelden,0,far,low
dirty,clean,always,never,now,soon,everyone,somewhere,tegengestelden,0,near,low
awake,sleep,smooth,stiff,leather,nimble,soft,clay,tegengestelden,0,,high
light,heavy,smooth,stiff,leather,nimble,soft,clay,tegengestelden,0,near,high
millionaire,beggar,arriving,lose weight,thicker,thin,scale,candy,tegengestelden,0,far,low
bring,fetch,arriving,lose weight,thicker,thin,scale,candy,tegengestelden,0,,low
summer,winter,laugh,cry,merry,in love,comfort,hoot,tegengestelden,0,,low
merry,angry,laugh,cry,merry,in love,comfort,hoot,tegengestelden,0,near,low
gnome,giant,white,black,pale,blank,red,dwarf,tegengestelden,0,far,low
future,past,white,black,pale,blank,red,dwarf,tegengestelden,0,,low
happy,sad,white,black,pale,blank,red,dwarf,tegengestelden,0,,low
accelerate,slow down,warm up,cool,microwave,summer,cold,greenhouse,tegengestelden,0,near,low
remember,forgotten,warm up,cool,microwave,summer,cold,greenhouse,tegengestelden,0,near,low
enlarge,reduce,warm up,cool,microwave,summer,cold,greenhouse,tegengestelden,0,near,low
future,past,bald,hairy,head,beard,old,man,tegengestelden,0,,low
clean,dirty,bald,hairy,head,beard,old,man,tegengestelden,0,near,low
duration,cheap,wild,tam,jungle,monkey,price,deer,tegengestelden,0,far,high
summer,winter,wild,tam,jungle,monkey,price,deer,tegengestelden,0,far,high
bring,fetch,slow,fast,return,package,slow,snail,tegengestelden,0,near,low
up,down,slow,fast,return,package,slow,snail,tegengestelden,0,near,low
slow,fast,cold,heat,snowman,winter,ice,scarf,tegengestelden,0,near,high
early,late,cold,heat,snowman,winter,ice,scarf,tegengestelden,0,,high
full,empty,banned,allowed,sign,red,Miss,may not,tegengestelden,0,near,
agreement,difference,banned,allowed,sign,red,Miss,may not,tegengestelden,0,near,
up,down,forward,backwards,run,to the left,bend,car,tegengestelden,0,near,
following,previous,forward,backwards,run,to the left,bend,car,tegengestelden,0,far,
great,small,thick,thin,fat,much,lick,bin,tegengestelden,0,near,low
left,right,thick,thin,fat,much,lick,bin,tegengestelden,0,far,low
wet,dry,warm,cold,tropics,summer,swimming,heating,tegengestelden,0,near,low
everywhere,nowhere,warm,cold,tropics,summer,swimming,heating,tegengestelden,0,near,low
early,late,dark,light,black,her,evening,yellow,tegengestelden,0,near,low
clumsy,elegant,dark,light,black,her,evening,yellow,tegengestelden,0,,low
light,heavy,open,close,full,key,button,door,tegengestelden,0,,high
draw,erasers,open,close,full,key,button,door,tegengestelden,0,far,high
merry,angry,arm,rich,ticket,sense,hand,beggar,tegengestelden,0,far,high
long,small,arm,rich,ticket,sense,hand,beggar,tegengestelden,0,far,high
agreement,difference,wide,narrow,short,elephant,table,same,tegengestelden,0,far,low
giant,gnome,wide,narrow,short,elephant,table,same,tegengestelden,0,far,low
high,low,for,behind,here,there,everywhere,das,tegengestelden,0,far,high
great,small,for,behind,here,there,everywhere,das,tegengestelden,0,far,high
thick,thin,for,behind,here,there,everywhere,das,tegengestelden,0,,high
receipt,payment,crabs,itch,fish,jumping,almost,headache,teken van,0,far,high
runny nose,cold,crabs,itch,fish,jumping,almost,headache,teken van,0,near,high
stars,night,sunrise,morning,afternoon,evening,summer,bed,teken van,0,,high
heat,summer,sunrise,morning,afternoon,evening,summer,bed,teken van,0,,high
curl,good,strike out,error,good,red,master,school,teken van,0,far,low
arrow,direction,strike out,error,good,red,master,school,teken van,0,far,low
wrinkle,age,yawn,fatigue,late,sleep,mouth,tongue,teken van,0,far,high
hug,love,yawn,fatigue,late,sleep,mouth,tongue,teken van,0,far,high
swing,regards,applause,valuation,public,hands,hits,performance,teken van,0,far,high
swearing,anger,applause,valuation,public,hands,hits,performance,teken van,0,far,high
goosebumps,cold,frown,ponder,joy,forgotten,listen,hiking,teken van,0,far,low
spiced nuts,Sinterklaas,frown,ponder,joy,forgotten,listen,hiking,teken van,0,far,low
blush,shame,cry,sadness,sense,too bad,laugh,surprise,teken van,0,near,high
swing,regards,cry,sadness,sense,too bad,laugh,surprise,teken van,0,,high
siren,emergency service,luxury,rich,Ferrari,speed,beautiful,gasoline,teken van,0,far,high
garlands,party,luxury,rich,Ferrari,speed,beautiful,gasoline,teken van,0,far,high
red,hazard,black,mourning,winter,disappointment,closed,war,teken van,0,near,high
arrow,direction,bleeding,injury,patch,link,nurse,hospital,teken van,0,far,low
brat,cold,bleeding,injury,patch,link,nurse,hospital,teken van,0,,low
mushrooms,autumn,flowers,spring,warm,snow,swimming,summer,teken van,0,near,low
pumpkins,halloween,flowers,spring,warm,snow,swimming,summer,teken van,0,,low
embrace,support,nod,agree,nice,get bored,chain,together,teken van,0,,high
blush,shame,nod,agree,nice,get bored,chain,together,teken van,0,,high
green,nature,heart,love,drawing,chain,candy,friendship,teken van,0,near,high
wrinkle,age,heart,love,drawing,chain,candy,friendship,teken van,0,far,high
sweating,effort,kiss,love,pillow,bales,nice,lips,teken van,0,far,low
snoring,sleep,kiss,love,pillow,bales,nice,lips,teken van,0,far,low
yawn,sleep,kiss,love,pillow,bales,nice,lips,teken van,0,,low
fever,disease,laugh,joy,anger,sadness,shame,rage,teken van,0,,low
goosebumps,cold,tie,formal,woman,pack,clothing,casual,teken van,0,far,high
heat,summer,cold,winter,summer,shiver,eskimo,polar bear,teken van,0,near,low
mushrooms,autumn,cold,winter,summer,shiver,eskimo,polar bear,teken van,0,,low
arrow,direction,nail biting,stress,hunger,coziness,fever,manicure,teken van,0,far,low
receipt,payment,nail biting,stress,hunger,coziness,fever,manicure,teken van,0,far,low
swearing,anger,laugh,joy,sadness,loneliness,tension,sense,teken van,0,near,high
curl,good,laugh,joy,sadness,loneliness,tension,sense,teken van,0,,high
red,hazard,fireworks,new year,fear,China,start,competition,teken van,0,far,low
fireman,extinguishing,farmer,milking,yard,cow,carpentry,tractor,uitvoerder - actie,causal,,high
carpenter,carpentry,farmer,milking,yard,cow,carpentry,tractor,uitvoerder - actie,causal,far,high
baker,bins,farmer,milking,yard,cow,carpentry,tractor,uitvoerder - actie,causal,,high
wolf,cry,frog,jumping,itch,her,diving,crabs,uitvoerder - actie,causal,,high
fish,swimming,frog,jumping,itch,her,diving,crabs,uitvoerder - actie,causal,,high
baby,cry,child,play,toy,little brother,school,Miss,uitvoerder - actie,causal,near,high
father,parenting,child,play,toy,little brother,school,Miss,uitvoerder - actie,causal,near,high
frog,croaking,horse,whinny,whistle,mane,foal,hooves,uitvoerder - actie,causal,near,high
wolf,cry,horse,whinny,whistle,mane,foal,hooves,uitvoerder - actie,causal,,high
duck,croaking,rooster,crows,bark,bleat,meow,whinny,uitvoerder - actie,causal,,low
cow,moo,rooster,crows,bark,bleat,meow,whinny,uitvoerder - actie,causal,near,low
cat,meow,rooster,crows,bark,bleat,meow,whinny,uitvoerder - actie,causal,near,low
minister,reign,conductor,conducting,composing,manufacturing,edit,overhaul,uitvoerder - actie,causal,,low
conductor,check,conductor,conducting,composing,manufacturing,edit,overhaul,uitvoerder - actie,causal,far,low
conductor,check,singer,sing,music,false,validate,key,uitvoerder - actie,causal,far,low
retailer,sell,singer,sing,music,false,validate,key,uitvoerder - actie,causal,far,low
cow,moo,chicken,cackling,bark,meow,swimming,beep,uitvoerder - actie,causal,near,low
goat,whine,chicken,cackling,bark,meow,swimming,beep,uitvoerder - actie,causal,near,low
alarm,moo,phone,ringing,ringtone,chatting,cell phone,phone,uitvoerder - actie,causal,near,high
lamp,shine,phone,ringing,ringtone,chatting,cell phone,phone,uitvoerder - actie,causal,,high
lamp,shine,car,drive,send,sailing,climb,polishing,uitvoerder - actie,causal,,low
bicycle tire,deflate,car,drive,send,sailing,climb,polishing,uitvoerder - actie,causal,near,low
fish,swimming,tailor,sewing,fabric,pants,sewing machine,rain suit,uitvoerder - actie,causal,far,high
pilot,fly,tailor,sewing,fabric,pants,sewing machine,rain suit,uitvoerder - actie,causal,far,high
swimmer,swimming,runner,run,jumping,race,stumble,competition,uitvoerder - actie,causal,near,low
letter carrier,deliver,runner,run,jumping,race,stumble,competition,uitvoerder - actie,causal,far,low
soccer player,footballs,runner,run,jumping,race,stumble,competition,uitvoerder - actie,causal,far,low
master,explain,builder,masonry,jumping,cut,write,hit,uitvoerder - actie,causal,far,high
fireman,extinguishing,builder,masonry,jumping,cut,write,hit,uitvoerder - actie,causal,,high
gardener,gardening,clerk,operate,waiter,dining,restaurant,food,uitvoerder - actie,causal,,low
swimmer,swimming,clerk,operate,waiter,dining,restaurant,food,uitvoerder - actie,causal,far,low
father,parenting,teacher,teach,school,calculate,listen,master,uitvoerder - actie,causal,near,high
attorney,defend,teacher,teach,school,calculate,listen,master,uitvoerder - actie,causal,,high
bicycle tire,deflate,crane,leaks,open,wet,water,close,uitvoerder - actie,causal,near,high
alarm,go off,crane,leaks,open,wet,water,close,uitvoerder - actie,causal,,high
surgeon,operate,journalist,write,read,calculate,newspaper,television,uitvoerder - actie,causal,far,high
fisherman,fish,hunter,hunt,bow and arrow,forest,rod,rabbit,uitvoerder - actie,causal,near,
master,explain,hunter,hunt,bow and arrow,forest,rod,rabbit,uitvoerder - actie,causal,far,
pilot,fly,baker,bins,hat,plane,cake,store,uitvoerder - actie,causal,,high
cook,cooking,baker,bins,hat,plane,cake,store,uitvoerder - actie,causal,near,high
letter carrier,deliver,hairdresser,cut,write,polishing,fly,rain,uitvoerder - actie,causal,,low
gardener,gardening,hairdresser,cut,write,polishing,fly,rain,uitvoerder - actie,causal,far,low
dog,wag,cat,spiders,dance,fly,hopping,bark,uitvoerder - actie,causal,near,high
frog,croaking,cat,spiders,dance,fly,hopping,bark,uitvoerder - actie,causal,near,high
dog,bark,cat,meow,shout,beep,basket,wag,uitvoerder - actie,causal,near,high
duck,croaking,cat,meow,shout,beep,basket,wag,uitvoerder - actie,causal,near,high
attorney,defend,right,judge,attacks,lawyer,curvier,toga,uitvoerder - actie,causal,near,high
minister,reign,right,judge,attacks,lawyer,curvier,toga,uitvoerder - actie,causal,,high
carpenter,carpentry,ballet dancer,dance,wall,sleep,sing,fall,uitvoerder - actie,causal,far,low
bomb,explode,apple,fall,climb,food,worms,tree,uitvoerder - actie,causal,,high
flower,bloom,apple,fall,climb,food,worms,tree,uitvoerder - actie,causal,,high
goat,whine,sheep,bleat,bark,wool,whey,food,uitvoerder - actie,causal,near,high
dog,bark,sheep,bleat,bark,wool,whey,food,uitvoerder - actie,causal,near,high
surgeon,operate,waiter,serve,restaurant,cafe,drinks,tray,uitvoerder - actie,causal,far,high
fisherman,fish,waiter,serve,restaurant,cafe,drinks,tray,uitvoerder - actie,causal,far,high
retailer,sell,bicycle mechanic,repair,valve,chain,send,wheel,uitvoerder - actie,causal,near,low
carpenter,carpentry,bicycle mechanic,repair,valve,chain,send,wheel,uitvoerder - actie,causal,,low
flower,bloom,seed,sprouting,earth,buried,plants,straw,uitvoerder - actie,causal,near,low
dog,wag,seed,sprouting,earth,buried,plants,straw,uitvoerder - actie,causal,far,low
cook,cooking,soldier,fight,army,rifle,uniform,polishing,uitvoerder - actie,causal,far,high
baby,cry,soldier,fight,army,rifle,uniform,polishing,uitvoerder - actie,causal,,high
