rel;start;end;weight
At Location;canoe;water;3.464
At Location;anemone;water;3.464
At Location;brain;person;3.464
At Location;blanket;bedroom;4.0
At Location;butter;restaurant;4.472
At Location;bird;sky;4.0
At Location;blotter;desk;4.899
At Location;beer;bar;4.899
At Location;ball;toybox;3.464
At Location;bill;congress;3.464
At Location;bee;garden;3.464
At Location;book;shelf;5.292
At Location;advertising;newspaper;6.0
At Location;boat;water;8.246
At Location;acorn;tree;3.464
At Location;cake;bakery;4.899
At Location;bookshelf;library;7.211
At Location;advertisement;mail;4.0
At Location;cacti;desert;3.464
At Location;bed;house;4.0
At Location;bookstore;city;3.464
At Location;beer;bottle;3.464
At Location;book;desk;3.464
At Location;armoire;bedroom;3.464
At Location;boat;ocean;3.464
At Location;battle;war;4.0
At Location;brain;skull;3.464
At Location;bookshop;mall;3.464
At Location;body;coffin;4.0
At Location;bogeyman;bed;4.0
At Location;bar;city;4.0
At Location;alcohol;pub;4.0
At Location;bishop;church;4.899
At Location;automobile;garage;4.899
At Location;bread;supermarket;4.0
At Location;bread;dinner;3.464
At Location;bone;vertebrate;4.0
At Location;ad;newspaper;4.0
At Location;calendar;desk;4.899
At Location;beaver;canada;3.464
At Location;bat;belfry;4.0
At Location;box;garage;4.472
At Location;bicycle;street;6.633
At Location;book;classroom;6.325
At Location;bazaar;india;3.464
At Location;bill;restaurant;4.472
At Location;beer;refrigerator;4.472
At Location;alcohol;plane;3.464
At Location;branch;forest;3.464
At Location;actor;show;3.464
At Location;cake;party;4.0
At Location;bath;house;3.464
At Location;boat;harbor;3.464
At Location;captain;ship;5.292
At Location;beaver;zoo;4.0
At Location;airplane;air;4.472
At Location;capital;country;7.483
At Location;cable;computer;4.0
At Location;basement;closet;4.899
At Location;beam;house;3.464
At Location;bathroom;house;5.657
At Location;bean;soup;3.464
At Location;butter;pastry;4.472
At Location;actor;movie;4.472
At Location;calendar;desktop;3.464
At Location;bell;church;5.292
At Location;bread;store;4.0
At Location;candle;table;3.464
At Location;bread;breadbox;6.928
At Location;calculator;desk;4.0
At Location;bomb;war;4.0
At Location;audience;theatre;5.657
At Location;airplane;sky;7.483
At Location;car;city;7.483
At Location;building;town;4.899
At Location;bombardon;war;3.464
At Location;antenna;roof;4.899
At Location;bed;room;3.464
At Location;artifact;museum;3.464
At Location;aisle;church;3.464
At Location;brother;family;3.464
At Location;animal;zoo;7.483
At Location;book;university;4.0
At Location;cafe;city;4.0
At Location;book;store;3.464
At Location;bell;school;4.0
At Location;bird;tree;4.472
At Location;bride;wedding;4.899
At Location;car;freeway;4.0
At Location;alcohol;beer;3.464
At Location;buffet;restaurant;4.0
At Location;bedroom;house;6.633
At Location;bicycle;garage;7.483
At Location;automobile;street;3.464
At Location;audience;show;4.0
At Location;butter;refrigerator;6.0
At Location;artery;body;3.464
At Location;agenda;meeting;3.464
At Location;baggage;airport;3.464
At Location;blender;kitchen;3.464
At Location;box;closet;3.464
At Location;boat;lake;4.0
At Location;bag;supermarket;3.464
At Location;bat;cave;4.0
At Location;book;bookshelf;4.899
At Location;bee;meadow;5.292
At Location;bowl;cupboard;7.211
At Location;butter;fridge;4.899
At Location;bag;drawer;3.464
At Location;blowdryer;bathroom;3.464
At Location;army;war;4.472
At Location;billboard;city;4.899
At Location;bread;market;4.0
At Location;flower;vase;3.464
At Location;cat;barn;4.0
At Location;change;jar;3.464
At Location;driftwood;beach;4.899
At Location;food;supermarket;6.633
At Location;coat;closet;10.392
At Location;icebox;kitchen;4.472
At Location;fire;fireplace;4.899
At Location;hand;pocket;4.472
At Location;dust;moon;3.464
At Location;family;house;6.325
At Location;door;wall;4.0
At Location;faucet;bathroom;4.0
At Location;checkbook;purse;4.899
At Location;fungus;laboratory;3.464
At Location;fortune;cookie;3.464
At Location;dog;doghouse;4.472
At Location;knife;kitchen;6.928
At Location;chocolate;box;4.0
At Location;gentleman;church;4.472
At Location;dust;carpet;3.464
At Location;ceiling;building;4.0
At Location;floor;closet;4.0
At Location;dust;closet;4.899
At Location;glass;window;3.464
At Location;hair;head;6.0
At Location;escalator;mall;4.0
At Location;intersection;road;3.464
At Location;dryer;basement;3.464
At Location;human;bus;4.0
At Location;food;fridge;6.633
At Location;ficus;forest;4.899
At Location;cat;windowsill;7.483
At Location;human;church;4.899
At Location;comb;purse;3.464
At Location;home;city;3.464
At Location;field;country;3.464
At Location;cereal;cupboard;3.464
At Location;condominium;city;4.0
At Location;knight;castle;3.464
At Location;hat;closet;4.0
At Location;furnace;cellar;4.472
At Location;gym;school;4.0
At Location;carpet;house;7.746
At Location;cavity;tooth;5.292
At Location;earth;orbit;4.899
At Location;fingernail;finger;4.0
At Location;information;library;4.899
At Location;crab;sand;6.633
At Location;elephant;africa;3.464
At Location;castle;europe;4.0
At Location;horse;cavalry;5.292
At Location;crosswalk;street;4.0
At Location;cat;bed;9.381
At Location;clarinet;band;4.0
At Location;child;school;6.633
At Location;carpeting;room;4.472
At Location;entertainer;show;3.464
At Location;food;resturant;4.472
At Location;information;newspaper;3.464
At Location;human;china;3.464
At Location;car;road;4.472
At Location;computer;table;4.899
At Location;heifer;barnyard;4.472
At Location;key;keychain;4.0
At Location;furniture;room;4.0
At Location;fish;river;4.472
At Location;fingerprint;finger;4.0
At Location;driveway;neighborhood;4.0
At Location;country;continent;4.0
At Location;cheese;pizza;4.0
At Location;cubicle;office;4.899
At Location;courtroom;courthouse;3.464
At Location;cat;home;3.464
At Location;lamp;desktop;4.0
At Location;fiddler;roof;4.0
At Location;elevator;building;3.464
At Location;dish;cabinet;4.899
At Location;garbage;trash;4.0
At Location;compass;backpack;4.0
At Location;knife;drawer;4.472
At Location;cat;chair;4.472
At Location;food;pantry;4.0
At Location;galley;boat;3.464
At Location;dog;park;4.899
At Location;lamp;desk;4.0
At Location;fruit;market;4.0
Capable Of;ball;bounce;6.0
Capable Of;cat;sleep;3.464
Capable Of;cat;scratch;3.464
Capable Of;cancer;kill;3.464
Capable Of;car;crash;6.325
Capable Of;ball;roll;4.472
Capable Of;baby;cry;4.472
Capable Of;love;hurt;4.472
Capable Of;paper;burn;5.292
Capable Of;kite;fly;4.472
Capable Of;mosquito;fly;4.0
Capable Of;male;ejaculate;4.0
Capable Of;fly;fly;3.464
Capable Of;iron;rust;4.0
Capable Of;penis;pee;3.464
Capable Of;dog;bark;16.0
Capable Of;knife;cut;3.464
Capable Of;friend;talk;3.464
Capable Of;dog;pet;7.483
Capable Of;lion;roar;4.0
Capable Of;toilet;flush;3.464
Capable Of;student;study;4.472
Capable Of;tent;shelter;3.464
Capable Of;water;freeze;4.899
Capable Of;wood;burn;5.292
Capable Of;water;flow;4.0
Capable Of;tree;grow;6.0
Causes;bathing;cleanliness;3.464
Causes;bathing;clean;4.472
Causes;living;death;3.464
Causes;depression;suicide;3.464
Causes;masturbation;orgasm;5.292
Causes;exercise;sweat;8.944
Causes;drinking;stupidity;4.0
Causes;masturbation;ejaculation;4.899
Causes;religion;war;4.472
Causes;war;destruction;3.464
Causes;sex;orgasm;6.633
Causes;surprising;scream;3.464
Causes;smoking;cancer;5.657
Causes;sex;pregnancy;4.899
Causes;war;death;4.0
Causes Desire;drinking;urinate;6.0
Causes Desire;hunger;eat;4.0
Causes Desire;dirtiness;clean;3.464
Causes Desire;music;dance;4.472
Causes Desire;love;kiss;9.381
Causes Desire;sexuality;flirt;3.464
Causes Desire;victory;celebrate;3.464
Causes Desire;thirst;drink;3.464
Causes Desire;obesity;exercise;3.464
Created By;book;writer;6.928
Created By;baby;sex;4.899
Created By;program;programmer;6.633
Created By;smoke;fire;3.464
Desires;person;praise;4.0
Desires;person;admiration;4.0
Desires;cat;sleep;3.464
Desires;child;learn;4.0
Desires;person;playfulness;3.464
Desires;person;time;4.0
Desires;animal;eat;4.0
Desires;student;learn;3.464
Desires;person;acknowledgment;4.0
Desires;person;communication;3.464
Desires;bird;fly;4.0
Desires;person;clothing;6.0
Desires;person;vacation;3.464
Desires;dog;bone;5.292
Desires;person;headache;6.325
Desires;person;space;3.464
Desires;person;relaxation;4.0
Desires;person;enjoy;4.0
Desires;animal;reproduce;4.472
Has A;peach;pit;4.472
Has A;air;oxygen;3.464
Has A;house;door;4.472
Has A;bicycle;chain;3.464
Has A;milk;calcium;4.899
Has A;apple;core;4.899
Has A;wine;alcohol;6.928
Has A;book;cover;4.0
Has A;coffee;caffeine;4.899
Has A;bread;yeast;4.899
Has A;marijuana;thc;4.0
Has A;earth;gravity;3.464
Has A;candy;sugar;3.464
Has A;book;knowledge;4.472
Has A;tea;caffeine;4.472
Has A;tea;caffein;3.464
Has A;elephant;trunk;3.464
Has A;hotel;lobby;3.464
Has A;bay;water;3.464
Has A;house;yard;3.464
Has A;steel;iron;4.472
Has First Subevent;exercise;stretch;4.899
Has First Subevent;travel;pack;3.464
Has Last Subevent;drink;swallow;3.464
Has Prerequisite;bathe;disrobe;3.464
Has Prerequisite;breathing;air;4.899
Has Prerequisite;breathe;inhale;4.0
Has Prerequisite;awake;sleep;4.472
Has Prerequisite;bathing;water;6.0
Has Prerequisite;judge;judge;3.464
Has Prerequisite;kill;murder;4.472
Has Prerequisite;fall;trip;3.464
Has Prerequisite;learn;study;4.472
Has Prerequisite;drink;swallow;3.464
Has Prerequisite;dream;sleep;7.746
Has Prerequisite;contemplate;think;6.633
Has Prerequisite;kiss;kiss;4.472
Has Prerequisite;compete;train;5.292
Has Prerequisite;painting;brush;3.464
Has Prerequisite;perform;practice;3.464
Has Prerequisite;surprise;hiding;4.0
Has Prerequisite;pretend;imagine;3.464
Has Prerequisite;study;concentration;4.472
Has Prerequisite;memorize;repeat;4.472
Has Prerequisite;skiing;snow;4.0
Has Prerequisite;memorize;read;4.472
Has Prerequisite;perform;rehearse;3.464
Has Prerequisite;travel;energy;3.464
Has Prerequisite;snore;sleep;4.899
Has Prerequisite;surprise;hide;4.0
Has Prerequisite;study;concentrate;4.0
Has Prerequisite;travel;pack;4.0
Has Prerequisite;rest;relax;4.899
Has Prerequisite;walk;stand;4.0
Has Prerequisite;rest;sleep;4.0
Has Property;circle;round;7.483
Has Property;disk;round;3.464
Has Property;glue;sticky;7.483
Has Property;butter;yellow;5.657
Has Property;banana;yellow;4.0
Has Property;life;finite;3.464
Has Property;ball;round;6.633
Has Property;rain;wet;4.472
Has Property;cat;feline;4.472
Has Property;cake;sweet;4.472
Has Property;basketball;round;4.0
Has Property;reading;fun;3.464
Has Property;world;diverse;3.464
Has Property;sex;fun;9.798
Has Property;water;transparent;4.472
Has Property;water;liquid;6.325
Has Property;tape;sticky;3.464
Has Property;voice;loud;3.464
Has Property;water;blue;4.0
Has Property;winter;cold;5.657
Has Property;sand;gritty;3.464
Has Property;world;round;8.0
Has Subevent;breathe;inhale;6.325
Has Subevent;analyse;think;3.464
Has Subevent;contemplate;think;3.464
Has Subevent;dream;sleep;5.657
Has Subevent;breathe;exhale;6.0
Has Subevent;cooking;burn;3.464
Has Subevent;awake;yawn;6.0
Has Subevent;compete;win;6.633
Has Subevent;love;kiss;3.464
Has Subevent;listen;learn;3.464
Has Subevent;fiddle;break;3.464
Has Subevent;judge;alienate;3.464
Has Subevent;help;thank;3.464
Has Subevent;hike;sweat;3.464
Has Subevent;masturbate;ejaculate;4.0
Has Subevent;wrestle;sweat;4.472
Has Subevent;reading;learn;6.325
Has Subevent;shop;buying;4.0
Has Subevent;surprise;shock;3.464
Has Subevent;snore;sleep;4.472
Has Subevent;relax;sleep;4.0
Has Subevent;tickle;laugh;6.633
Has Subevent;pretend;lie;3.464
Has Subevent;sleep;dream;9.798
Has Subevent;perform;applause;3.464
Has Subevent;study;reading;4.0
Is A;air;gas;7.211
Is A;amiga;computer;3.464
Is A;america;country;6.928
Is A;alien;person;3.464
Is A;africa;continent;5.292
Is A;aluminum;metal;3.464
Is A;atlanta;city;4.0
Is A;armchair;chair;4.0
Is A;anatomy;science;3.464
Is A;axe;tool;4.899
Is A;avenue;street;4.0
Is A;ball;toy;7.746
Is A;badminton;sport;5.657
Is A;anger;emotion;7.746
Is A;auk;bird;3.464
Is A;bowling;sport;4.0
Is A;blue;colour;4.472
Is A;bomb;device;4.0
Is A;bar;place;5.292
Is A;beer;beverage;4.0
Is A;box;container;6.633
Is A;bin;container;3.464
Is A;blue;color;6.928
Is A;baseball;sport;22.891
Is A;bear;mammal;3.464
Is A;bass;fish;8.485
Is A;beagle;dog;3.464
Is A;basil;herb;3.464
Is A;biology;science;8.246
Is A;baseball;game;7.746
Is A;bazaar;marketplace;3.464
Is A;bathroom;room;4.472
Is A;bed;place;4.472
Is A;carnation;flower;4.0
Is A;cabbage;plant;4.0
Is A;cannon;weapon;4.472
Is A;burlap;fabric;4.0
Is A;brie;cheese;4.472
Is A;breakfast;meal;3.464
Is A;calcium;element;3.464
Is A;cappuccino;drink;5.292
Is A;butter;food;7.483
Is A;brazil;country;6.0
Is A;cancer;disease;4.899
Is A;butterfly;insect;4.899
Is A;celery;vegetable;3.464
Is A;canada;country;7.483
Is A;cash;money;3.464
Is A;california;state;6.325
Is A;carbon;element;4.472
Is A;brown;color;4.472
Is A;chocolate;food;5.657
Is A;circle;shape;4.899
Is A;college;school;4.472
Is A;coke;soda;6.928
Is A;christmas;holiday;4.472
Is A;cinnamon;spice;4.0
Is A;cheese;food;6.325
Is A;china;country;7.211
Is A;christianity;religion;6.0
Is A;city;place;6.633
Is A;chocolate;candy;4.0
Is A;chess;game;7.483
Is A;college;place;8.246
Is A;clarinet;instrument;5.657
Is A;cobra;snake;3.464
Is A;chicken;food;7.211
Is A;chicken;meat;6.633
Is A;chemistry;science;4.899
Is A;coffee;stimulant;5.292
Is A;colorado;state;6.0
Is A;cottage;house;3.464
Is A;congress;legislature;3.464
Is A;cotton;crop;3.464
Is A;crow;bird;4.472
Is A;copper;metal;4.0
Is A;cucumber;vegetable;3.464
Is A;corn;food;6.0
Is A;cotton;plant;3.464
Is A;curry;spice;4.0
Is A;corn;vegetable;8.944
Is A;crappie;fish;5.657
Is A;cubicle;workspace;3.464
Is A;drawer;container;3.464
Is A;dinner;meal;5.292
Is A;denim;fabric;6.325
Is A;disgust;emotion;4.0
Is A;doll;toy;8.485
Is A;dolphin;animal;4.0
Is A;earth;word;3.464
Is A;dog;canine;4.899
Is A;dna;molecule;3.464
Is A;dog;pet;6.0
Is A;dog;mammal;5.292
Is A;desert;terrain;5.292
Is A;dollar;money;3.464
Is A;desk;furniture;4.472
Is A;ethanol;alcohol;3.464
Is A;falcon;bird;4.0
Is A;finch;bird;6.633
Is A;fear;emotion;5.657
Is A;epoxy;glue;3.464
Is A;georgia;state;4.472
Is A;garlic;ingredient;3.464
Is A;geometry;subject;3.464
Is A;gasoline;liquid;4.472
Is A;geometry;math;4.0
Is A;germany;country;4.0
Is A;fly;insect;6.928
Is A;fire;combustion;5.657
Is A;football;game;9.165
Is A;football;sport;8.0
Is A;fish;animal;4.472
Is A;flamingo;bird;3.464
Is A;garnet;stone;3.464
Is A;game;activity;4.472
Is A;flute;instrument;4.472
Is A;fox;animal;4.0
Is A;france;country;6.633
Is A;geology;science;3.464
Is A;hamburger;food;3.464
Is A;happiness;emotion;4.472
Is A;glock;gun;4.472
Is A;gorilla;ape;5.292
Is A;glue;substance;4.899
Is A;heroin;drug;4.472
Is A;hawk;bird;4.0
Is A;hibiscus;flower;5.292
Is A;harp;instrument;4.472
Is A;highway;road;7.483
Is A;god;concept;4.899
Is A;harmonica;instrument;4.0
Is A;god;love;3.464
Is A;golf;sport;3.464
Is A;helium;gas;5.292
Is A;gold;metal;13.416
Is A;heat;energy;4.472
Is A;goose;bird;4.0
Is A;gull;bird;3.464
Is A;hawaii;state;3.464
Is A;handgun;weapon;4.472
Is A;heart;muscle;5.292
Is A;guitare;instrument;6.928
Is A;hate;emotion;4.472
Is A;goldfish;carp;8.0
Is A;gravity;force;8.0
Is A;honesty;virtue;4.0
Is A;hunger;sensation;3.464
Is A;india;country;3.464
Is A;imac;computer;4.472
Is A;ibm;company;3.464
Is A;hockey;sport;7.483
Is A;honda;car;3.464
Is A;ip;protocol;3.464
Is A;holland;country;4.472
Is A;ignorance;bliss;5.292
Is A;hurricane;storm;4.0
Is A;human;biped;3.464
Is A;hydrogen;element;4.472
Is A;hockey;game;3.464
Is A;ivy;vine;3.464
Is A;iron;metal;6.928
Is A;italy;country;3.464
Is A;knife;tool;3.464
Is A;island;land;5.292
Is A;ketchup;condiment;3.464
Is A;jogging;exercise;4.899
Is A;iron;element;3.464
Is A;jazz;music;4.472
Is A;ireland;country;4.472
Is A;jam;spread;3.464
Is A;lemonade;drink;3.464
Is A;islam;religion;6.325
Is A;jupiter;planet;5.657
Is A;iraq;country;4.472
Is A;japan;country;4.0
Is A;iris;flower;4.472
Is A;jesus;jew;4.472
Is A;leather;material;4.899
Is A;ledger;book;4.0
Is A;lion;carnivore;6.633
Is A;marble;rock;3.464
Is A;mac;computer;4.0
Is A;massachusetts;state;5.657
Is A;lettuce;vegetable;4.472
Is A;london;city;5.292
Is A;mansion;house;4.0
Is A;lie;deception;4.0
Is A;maine;state;4.472
Is A;mandolin;instrument;4.472
Is A;library;building;3.464
Is A;light;energy;4.472
Is A;marijuana;drug;6.633
Is A;lion;animal;7.211
Is A;linen;cloth;4.0
Is A;marble;stone;3.464
Is A;metal;music;4.472
Is A;math;subject;6.325
Is A;microsoft;corporation;3.464
Is A;mexico;country;3.464
Made Of;book;paper;4.472
Made Of;bicycle;metal;3.464
Motivated By Goal;scratch;itch;3.464
Motivated By Goal;walk;exercise;4.899
Motivated By Goal;listen;learn;4.472
Motivated By Goal;kill;revenge;4.0
Motivated By Goal;punch;hurt;3.464
Motivated By Goal;sleep;rest;6.0
Motivated By Goal;read;learn;6.633
Motivated By Goal;compete;win;6.633
Motivated By Goal;surf;fun;3.464
Motivated By Goal;cry;sad;4.0
Motivated By Goal;tickle;laugh;3.464
Motivated By Goal;lie;protect;4.0
Motivated By Goal;bathe;dirty;3.464
Motivated By Goal;work;money;4.472
Motivated By Goal;entertain;please;4.0
Part Of;aunt;family;3.464
Part Of;bit;byte;3.464
Part Of;blade;knife;4.0
Part Of;brain;body;4.472
Part Of;atom;molecule;3.464
Part Of;bumper;car;3.464
Part Of;bark;tree;5.292
Part Of;book;library;7.211
Part Of;battle;war;4.472
Part Of;iris;eye;4.472
Part Of;heart;body;3.464
Part Of;toe;foot;4.899
Part Of;knuckle;finger;3.464
Part Of;toenail;toe;3.464
Part Of;proton;atom;4.899
Part Of;cpu;computer;6.325
Part Of;head;animal;3.464
Part Of;eye;face;3.464
Part Of;neuron;brain;4.0
Part Of;glass;window;3.464
Part Of;hand;body;3.464
Part Of;foot;body;3.464
Part Of;god;religion;6.928
Part Of;person;society;5.292
Part Of;galaxy;universe;6.928
Part Of;trigger;gun;4.0
Part Of;electron;atom;4.899
Part Of;tire;car;4.472
Part Of;player;team;4.0
Part Of;mattress;bed;4.472
Part Of;mouse;computer;4.472
Part Of;engine;car;3.464
Part Of;death;life;6.0
Part Of;cornea;eye;4.899
Part Of;monitor;computer;6.0
Part Of;letter;word;4.899
Part Of;france;europe;3.464
Part Of;chapter;book;5.292
Part Of;keyboard;computer;10.0
Part Of;penis;body;4.0
Part Of;eye;head;5.292
Part Of;hydrogen;water;3.464
Part Of;tree;forest;4.472
Part Of;hair;head;4.0
Part Of;liver;body;3.464
Part Of;nucleus;cell;3.464
Part Of;ram;computer;4.472
Part Of;handle;door;4.472
Part Of;leaf;tree;5.657
Part Of;leg;table;4.472
Part Of;motherboard;computer;4.899
Part Of;earth;universe;5.292
Part Of;wave;ocean;4.0
Part Of;window;building;4.0
Part Of;wheel;bicycle;3.464
Part Of;word;sentence;7.211
Part Of;word;language;4.0
Part Of;wall;house;3.464
Receives Action;glass;broken;5.292
Used For;church;worship;4.0
Used For;breathing;survival;3.464
Used For;bell;ring;3.464
Used For;cat;companionship;4.0
Used For;cloth;cleaning;4.472
Used For;board;build;4.472
Used For;bat;baseball;3.464
Used For;bathtub;bathing;6.325
Used For;breathing;living;3.464
Used For;beer;drinking;4.899
Used For;cigarette;smoking;4.0
Used For;boat;travel;3.464
Used For;boat;fishing;4.472
Used For;check;pay;3.464
Used For;column;support;4.0
Used For;club;beating;4.0
Used For;ball;play;4.0
Used For;bath;relaxation;5.657
Used For;comb;hair;3.464
Used For;cat;pet;3.464
Used For;cloth;clean;7.746
Used For;bone;support;3.464
Used For;bicycle;transportation;6.633
Used For;beam;support;3.464
Used For;cream;person;3.464
Used For;driveway;parking;4.0
Used For;cup;drinking;3.464
Used For;dildo;masturbation;4.0
Used For;condom;sex;4.472
Used For;glass;drinking;7.211
Used For;feather;tickle;5.657
Used For;game;entertainment;3.464
Used For;friend;companionship;3.464
Used For;cubicle;privacy;4.0
Used For;gymnasium;exercise;3.464
Used For;grill;cooking;3.464
Used For;doll;play;4.0
Used For;dog;companionship;6.325
Used For;computer;work;6.633
Used For;food;nourishment;3.464
Used For;finger;point;3.464
Used For;hair;warmth;4.0
Used For;floor;walk;6.325
Used For;gas;cooking;3.464
Used For;computer;communication;7.483
Used For;gun;kill;7.211
Used For;language;communication;5.292
Used For;pet;companionship;4.899
Used For;marker;write;4.0
Used For;mineral;health;3.464
Used For;pan;cooking;4.899
Used For;home;living;4.0
Used For;music;pleasure;4.0
Used For;ice;drink;3.464
Used For;machine;work;3.464
Used For;life;living;3.464
Used For;movie;entertainment;3.464
Used For;needle;sew;6.633
Used For;paint;painting;3.464
Used For;internet;communicate;3.464
Used For;letter;communication;4.472
Used For;meat;eat;4.472
Used For;literature;read;4.899
Used For;office;work;4.0
Used For;mall;shopping;4.472
Used For;horn;music;3.464
Used For;knife;butter;4.0
Used For;piano;music;3.464
Used For;knight;jousting;4.472
Used For;pad;mouse;3.464
Used For;island;vacation;3.464
Used For;hill;climb;4.472
Used For;house;shelter;3.464
Used For;highway;travel;4.899
Used For;marijuana;pleasure;4.0
Used For;phone;communication;4.899
Used For;internet;research;6.928
Used For;puzzle;entertainment;4.0
Used For;soap;cleaning;3.464
Used For;toilet;poop;4.472
Used For;saloon;drinking;4.0
Used For;story;entertainment;3.464
Used For;show;entertain;6.0
Used For;song;entertainment;4.0
Used For;soap;clean;6.633
Used For;telephone;communicate;9.381
Used For;toy;entertainment;3.464
Used For;prostitute;sex;4.472
Used For;string;tie;4.0
Used For;reception;celebrate;4.0
Used For;supermarket;shopping;4.472
Used For;river;fishing;4.0
Used For;sun;light;4.0
Used For;temple;religion;4.899
Used For;sex;procreation;4.0
Used For;stove;cook;4.472
Used For;tapestry;decor;3.464
Used For;tree;shade;3.464
Used For;show;entertainment;4.0
Used For;tv;entertainment;4.472
Used For;water;drink;8.246
Used For;weapon;hurt;4.472
Used For;weapon;kill;4.0
Used For;watch;time;3.464
Used For;voice;communicate;4.0
Used For;wine;drinking;6.928
Used For;water;cleaning;3.464
Used For;water;bathing;3.464
Used For;water;drinking;4.0